hostname,os,scope,type,ip,nat,datastore
SCARPE,A VÉRIFIER,HUO,V,10.2.32.118,15.1.53.14,GRABELS G2
SEBAOU,Red Hat Enterprise 6.9,HUO,V,10.2.32.19,,MOP B4
SECCHIA,Red Hat Enterprise 5.11,UO,P,10.1.32.182,15.1.70.212,B49A08D07U18
SECGUAV01,Red Hat Enterprise 6.3,infra IBM,V,10.0.32.252,15.1.70.246,GRABELS G2
SEGRE,Red Hat Enterprise 7,HUO,V,10.2.32.7,15.1.53.220,GRABELS G2
SEMINE,Red hat Enterprise 7,HUO,V,10.2.32.15,15.1.53.183,GRABELS G2
SENNE,Windows 2008 R2 x64 STD,UO,V,10.0.32.134,15.1.70.34,MOP B4
SENNETTE,Red Hat Enterprise 7,HUO,V,10.2.32.173,,GRABELS G2
SENOUIRE,Red Hat Enterprise 7,HUO,V,10.0.32.93,,MOP B4
SEOUNE,Red Hat Enterprise 7,HUO,V,10.0.32.94,,GRABELS G2
SEREIN,Red Hat Enterprise 7,HUO,V,10.0.32.95,,GRABELS G2
SERPIS,Red Hat Enterprise 7.4,UO,V,10.1.32.113,15.1.70.154,MOP B4
SERRE,Red Hat Enterprise 7,HUO,V,10.2.32.83,,MOP B4
SEUDRE,Red Hat Enterprise 5.11,HUO,V,10.2.32.125,,MOP B4
SEVERN,Windows 2008 x64 STD,UO,V,10.0.32.75,15.1.53.236,MOP B4
SEVRON,Red Hat Enterprise 7,HUO,V,10.2.32.18,15.1.53.184,GRABELS G2
SHIKOKU,Red Hat Enterprise 7.2,HUO,V,10.2.32.64,,MOP B4
SHINANO,Red Hat Enterprise 7.2,HUO,V,10.2.32.68,,MOP B4
SIENNE,Red Hat Enterprise 5.11,UO,P,10.1.32.210 / 10.1.32.211,,G11A11D09U28
SIMME,Windows 2008 R2 x64 STD,UO,V,10.1.32.122,15.1.70.225,GRABELS G2
SIONNE,Windows 2008 R2 x64 STD,HUO,V,10.1.32.60,15.1.70.99,MOP B4
SIOULE,Red Hat Enterprise 7,HUO,V,10.0.32.6,15.1.53.103,GRABELS G2
SITTANG,Windows 2008 R2 x64 STD,UO,V,10.4.32.45,15.1.53.19,EUREKA
SKAGIT,Red Hat Enterprise 6.8,UO,V,10.0.32.60,15.1.53.192,GRABELS G2
SKEENA,Red Hat Enterprise 7.4,HUO => UO,V,10.2.32.34,15.1.70.179,GRABELS G2
SOLRE,Red Hat Enterprise 7,UO,V,10.1.32.110,15.1.70.15,MOP B4
SOLNAN,Red Hat Enterprise 7,HUO,V,10.2.32.110,15.1.70.148,MOP B4
